name,latitude,longitude,distance_km
Colombo Lotus Tower,6.927173943255416,79.85832407144919,0.318562337667674
Cinnamon Nature Trails,6.929325,79.84968800000001,1.294417781141108
Christian Reformed Church of Sri Lanka,6.942084799999999,79.859072,1.6762600821844087
Excel World Entertainment Park,6.922451499999999,79.8612151,0.5235623379388662
YOGA REIKI MEDITATION,7.2995129,80.6484139,1.8282049869098627
Rajanima Craft (Pvt) Ltd,7.284680200000001,80.6434498,1.3188894465886607
Old Royal Palace,7.2947862,80.6410831,1.2041988518608155
Grand Oriental Hotel,6.9373415,79.8449335,1.8371724765130175
Hotel Casamara Kandy,7.2935149,80.6372217,0.7851576965256752
Udawatta Kele Sanctuary,7.2988782,80.6424033,1.6109897234232822
Kandyan Cultural Centre,7.2920019,80.6423871,1.1922132995689299
Gem Museum,6.912143,79.852988,1.9005264375083413
Tea Breeze Cafe at Beira Lake,6.9164175,79.8527841,1.51391182722548
